The principal is unhappy...we're cooked.,1
The availability of data is likely to lead to a veritable orgy of statistical analysis.,1
Love you to the moon and back.,1
"Man, your compassion is greater than space.",0
Marriage is the grave of love.,1
I went into the shop and we cleared the shelves out.,1
He's as mad as a hippo with a hernia.,0
You're making a mountain out of a molehill.,1
"Speech is silver, but silence is golden.",1
No offence but she's out of the world dumb.,1
Miss Trunchbull's lips stretched in a glacial smile.,1
We're going to turn this sow's ear into a silk purse.,1
This one is valuable: you don't touch a hair of his head.,1
He has a watermelon instead of a belly.,1
The argument with my bestfriend turned into a tempest in a teacup.,1
"You know, the world could end before I'd let something happen to you.",1
We must fight with the force of a typhoon.,1
These people would follow you to the end of the earth.,1
Beauty draws with a single hair.,1
You'll devour the book in a couple of days.,0
"He hurts everybody, he has a sharp knife instead of a tongue.",1
Technology annihilates humanity.,0
I've been enjoying this tea for all my life.,1
"This book is a masterpiece, it is priceless!",1
Her hair is the same as Rapunzel.,0
You have no conception of the quantity of miserable feeling that passes through me in a day.,0
He hiccuped endlessly.,1
My heart's bleeding right now.,1
The professor destroyed me in front of the class.,1
His nose resembles Pinocchio's nose when he lies.,0
I feel like I'm going to burst.,1
"I have fever, I can't move.",0
New York is the promised land to him.,1
"Even thinking back, it feels like living a fairy tail.",0
My sisters mean more than air to me.,0
Moms are more powerful than the sea.,0
"Well, this travel's going to be the start of a new life for us.",1
People say Massimo has phenomenal cooking powers.,0
You should sunbathe! You look white as a ghost!,0
I did not suspect it would be so good: this book is a pit of wonders.,1
His hand is as cold as an ice box.,0
My stomach almost bust.,1
Faith will move mountains.,1
Her smoldering eyes still scorch my soul.,1
The massages at the spa are miraculous.,1
"No more food, I'm stuffed.",1
That girl's eyes shine like stars.,0
I felt fireworks in my brain when I set foot in the candy shop.,1
The princess' lips shame the red rose.,1
My bank account runs dry.,1
"That joke is so old, the last time I heard it I was riding on a dinosaur.",1
"Insolent boy, I'll slash you to ribbons!",1
I would give my life for a coffee.,1
I'll tell you a tale of the boundless blue that is the ocean.,1
"After watching the movie, I wanted to put the villain through the wall into the next planet.",1
"The noise was so great, that it was heard in both the countries.",1
That must be the angel music I hear.,1
The buyer has need of a hundred eyes.,1
